Mammals,,,,,
,,,,,
SNo,Common name,Scientific name,Home range,status,
1,Lowland Anoa,Bubalus depressicornis,Asia,E,
2,Mountain Anoa,Bubalus quarlesi,Asia,E,
3,Giant Sable Antelope,Hippotragus niger variani,Africa,E,
4,Argali,Ovis ammon,"Europe, Asia",E,
5,Giant Armadillo,Priodontes maximus,South America,E,
6,Pink Fairy Armadillo,Chlamyphorus truncatus,South America,E,
7,African Wild Ass,Equus africanus,Africa,E,
8,Asian Wild Ass (Onager),Equus hemionus,Asia,E,
9,Avahi (Woolly lemur),Avahi sp.,Australia,E,
10,Aye-aye,Daubentonia madagascariensis,Australia,E,
11,Babirusa,Babyrousa babyrussa,Asia,E,
12,Gelada,Theropithecus gelada,Africa,T,
13,Western Barred Bandicoot,Perameles bougainville,Australia,E,
14,Desert Bandicoot,Perameles eremiana,Australia,E,
15,Lesser Rabbit Bandicoot (Lesser Bilby),Macrotis leucura,Australia,E,
16,Pig-footed Bandicoot,Chaeropus ecaudatus,Australia,E,
17,Rabbit Bandicoot (Bilby),Macrotis lagotis,Australia,E,
18,Banteng,Bos javanicus,Asia,E,
19,Bulmer's fruit bat (flying fox),Aproteles bulmerae,Australia,E,
20,Bumblebee Bat,Craseonycteris thonglongyai,Asia,E,
21,Gray Bat,Myotis grisescens,North America,E,
22,Hawaiian Hoary Bat,Lasiurus cinereus semotus,North America,E,
23,Indiana bat,Myotis sodalis,North America,E,
24,Lesser Long-nosed Bat,Leptonycteris curasoae yerbabuenae,North America,E,
25,Little Mariana fruit bat,Pteropus tokudae,North America,E,
26,Mariana Fruit Bat (Mariana flying fox),Pteropus mariannus,North America,T,
27,Mexican long-nosed bat (Saussure's long-nosed bat),Leptonycteris nivalis,North America,E,
28,Ozark Big-Eared Bat,Corynorhinus (Plecotus) townsendii ingens,North America,E,
29,Rodrigues Fruit Bat (Flying Fox),Pteropus rodricensis,Africa,E,
30,Singapore Roundleaf Horseshoe Bat,Hipposideros ridleyi,Australia,E,
31,Virginia big-eared bat,Corynorhinus (Plecotus) townsendii virginianus,North America,E,
32,American Black Bear,Ursus americanus,North America,T(S/A),
33,Baluchistan Bear,Ursus thibetanus gedrosianus,Asia,E,
